Date,Open,High,Low,Close
04/11/2022,1.3042,1.3058,1.2989,1.3028
04/08/2022,1.3076,1.3082,1.2982,1.3034
04/07/2022,1.307,1.3107,1.3052,1.3074
04/06/2022,1.3076,1.3108,1.3046,1.3067
04/05/2022,1.3116,1.3168,1.3066,1.3072
04/04/2022,1.3102,1.3166,1.3093,1.3114
04/01/2022,1.3141,1.3153,1.3086,1.3113
03/31/22,1.3133,1.3177,1.3107,1.3143
03/30/22,1.3087,1.3183,1.3085,1.3135
03/29/22,1.3091,1.316,1.3051,1.3095
03/28/22,1.3178,1.3189,1.3067,1.3092
03/25/22,1.3186,1.3225,1.3161,1.3181
03/24/22,1.3205,1.3214,1.3157,1.3187
03/23/22,1.3263,1.3299,1.3175,1.3207
03/22/22,1.3168,1.3272,1.312,1.3262
03/21/22,1.3181,1.3211,1.3127,1.3169
03/18/22,1.3147,1.3198,1.311,1.3177
03/17/22,1.3148,1.321,1.3089,1.3148
03/16/22,1.3043,1.3162,1.3035,1.3149
03/15/22,1.3002,1.3088,1.3,1.3041
03/14/22,1.3047,1.3079,1.3,1.3001
03/11/2022,1.3084,1.3124,1.3027,1.3038
03/10/2022,1.3182,1.3194,1.3081,1.3085
03/09/2022,1.3105,1.3191,1.3088,1.3185
03/08/2022,1.3106,1.3144,1.3083,1.3102
03/07/2022,1.3214,1.3248,1.3101,1.3104
03/04/2022,1.3348,1.3358,1.3202,1.3235
03/03/2022,1.3407,1.3418,1.3319,1.3349
03/02/2022,1.3326,1.3408,1.3273,1.3408
03/01/2022,1.3416,1.3438,1.3302,1.3325
02/28/22,1.3331,1.3432,1.333,1.3415
02/25/22,1.3381,1.344,1.3367,1.3416
02/24/22,1.3544,1.3551,1.3273,1.3382
02/23/22,1.3588,1.3621,1.3536,1.3546
02/22/22,1.36,1.3604,1.3539,1.3586
02/21/22,1.3585,1.364,1.3584,1.3603
02/18/22,1.3616,1.3643,1.3573,1.3588
02/17/22,1.3584,1.3639,1.3556,1.3615
02/16/22,1.354,1.3602,1.3532,1.3583
02/15/22,1.3518,1.3567,1.3487,1.3541
02/14/22,1.3561,1.3572,1.3495,1.3528
02/11/2022,1.3558,1.3609,1.3515,1.3562
02/10/2022,1.3533,1.3644,1.3523,1.3559
02/09/2022,1.3546,1.3589,1.3527,1.3535
02/08/2022,1.3536,1.3565,1.3508,1.3545
02/07/2022,1.3551,1.3555,1.349,1.3537
02/04/2022,1.3597,1.3615,1.3505,1.3528
02/03/2022,1.358,1.3628,1.3537,1.3598
02/02/2022,1.3523,1.3588,1.3516,1.3574
02/01/2022,1.3446,1.3529,1.3434,1.3522
01/31/22,1.3399,1.3461,1.3387,1.3448
01/28/22,1.3384,1.3434,1.3364,1.3408
01/27/22,1.3463,1.3469,1.3359,1.3383
01/26/22,1.3507,1.3526,1.3445,1.3465
01/25/22,1.3488,1.352,1.3436,1.3508
01/24/22,1.355,1.3567,1.344,1.349
01/21/22,1.3597,1.3603,1.3545,1.3553
01/20/22,1.3613,1.3662,1.3586,1.36
01/19/22,1.3591,1.3649,1.3588,1.3611
01/18/22,1.3644,1.3662,1.3573,1.3596
01/17/22,1.3674,1.369,1.3637,1.3646
01/14/22,1.3706,1.3744,1.3653,1.3677
01/13/22,1.3701,1.375,1.37,1.3704
01/12/2022,1.3636,1.3714,1.3621,1.37
01/11/2022,1.3565,1.3637,1.3562,1.3634
01/10/2022,1.3591,1.3605,1.3532,1.3576
01/07/2022,1.3533,1.3598,1.3528,1.3593
01/06/2022,1.3555,1.356,1.349,1.3531
01/05/2022,1.3531,1.36,1.3522,1.3556
01/04/2022,1.3479,1.3557,1.3459,1.3529
01/03/2022,1.3533,1.3538,1.3431,1.3482
